source_x,title,abstract,publish_time,authors,journal
Medline,Monoclonal antibody-based antigen capture enzyme-linked immunosorbent assay reveals high sensitivity of the nucleocapsid protein in acute-phase sera of severe acute respiratory syndrome patients.,"Accurate and timely diagnosis of severe acute respiratory syndrome coronavirus (SARS-CoV) infection is a critical step in preventing another global outbreak. In this study, 829 serum specimens were collected from 643 patients initially reported to be infected with SARS-CoV. The sera were tested for the N protein of SARS-CoV by using an antigen capture enzyme-linked immunosorbent assay (ELISA) based on monoclonal antibodies against the N protein of SARS-CoV and compared to 197 control serum samples from healthy donors and non-SARS febrile patients. The results of the N protein detection analysis were directly related to the serological analysis data. From 27 SARS patients who tested positive with the neutralization test, 100% of the 24 sera collected from 1 to 10 days after the onset of symptoms were positive for the N protein. N protein was not detected beyond day 11 in this group. The positive rates of N protein for sera collected at 1 to 5, 6 to 10, 11 to 15, and 16 to 20 days after the onset of symptoms for 414 samples from 298 serologically confirmed patients were 92.9, 69.8, 36.4, and 21.1%, respectively. For 294 sera from 248 serological test-negative patients, the rates were 25.6, 16.7, 9.3, and 0%, respectively. The N protein was not detected in 66 patients with cases of what was initially suspected to be SARS but serologically proven to be negative for SARS and in 197 serum samples from healthy donors and non-SARS febrile patients. The specificity of the assay was 100%. Furthermore, of 16 sera collected from four patients during the SARS recurrence in Guangzhou, 5 sera collected from 7 to 9 days after the onset of symptoms were positive for the N protein. N protein detection exhibited a high positive rate, 96 to 100%, between day 3 and day 5 after the onset of symptoms for 27 neutralization test-positive SARS patients and 298 serologically confirmed patients. The N protein detection rate continually decreased beginning with day 10, and N protein was not detected beyond day 19 after the onset of symptoms. In conclusion, an antigen capture ELISA reveals a high N protein detection rate in acute-phase sera of patients with SARS, which makes it useful for early diagnosis of SARS.",2005,"Di, Biao; Hao, Wei; Gao, Yang; Wang, Ming; Wang, Ya-di; Qiu, Li-wen; Wen, Kun; Zhou, Duan-hua; Wu, Xin-wei; Lu, En-jie; Liao, Zhi-yong; Mei, Ya-bo; Zheng, Bo-jian; Che, Xiao-yan",Clinical and diagnostic laboratory immunology
WHO,PG105 Every pandemic has a silver lining: building on the COVID experience,"IntroductionThe SARS-CoV-2 pandemic has posed extraordinary pressures on individuals, teams and organisations It has also considerably impacted on simulation training Initially by enhancing its role in promoting clinical preparedness, learning new drills and upskilling redeployed staff Later because of its potential to contribute to viral transmission, which has mandated new considerations regarding how we deliver simulation safely now and in the foreseeable future 1 Lastly by accentuating a trend towards virtual means of collaborating, teaching and learning 2Health Education and Improvement Wales (HEIW) was created in 2018 as a Special Health Authority, which sits alongside health boards as part of NHS Wales One of its key priorities is to facilitate the consolidation of the Welsh Simulation Network (WSN) and the delivery of high standard simulation education in Wales MethodsHEIW has established an expert simulation education team this summer All interviews and meetings have been carried out virtually As a consequence, this new team is defining a new simulation strategy, governance structures and portfolios as well as identifying ways to revitalise the Welsh network without being able to meet in person We cannot underestimate the impact of developing a team virtually rather than through physical encounters As simulation educators we often rely on subtle non-verbal cues and eye contact to facilitate constructive communication and individual engagement Trying to communicate effectively with new colleagues as well as learning to use all the new resources at our disposal has constituted a challenge but has provided us with new opportunities ResultsWe aim to identify positive elements to build on, in order to exemplify a culture of positivity:Virtual meetings have offered an accessible forum regardless of geographical location, particularly relevant in Wales, as our hospital sites can be distant with poor road infrastructure (4 5 hours car travel) A wider application of this principle is guiding the establishment of new opportunities for all in the WSN Numerous examples of good simulation practice have arisen since March, with all Welsh health boards drawing on simulation training sessions in readiness for crises Celebrating excellence will be key in building the way forward together DiscussionWhilst this pandemic has inflicted a great deal of stress on clinical and educational personnel, it has also highlighted the adaptability, resilience and vocation of our colleagues Identifying successes will contribute to overcoming current and future hurdles, as we delineate a new way for safe, accessible, high-standard simulation education in Wales 3 4Reference1 Ingrassia PL, Capogna G, Diaz-Navarro C, et al COVID-19 crisis, safe reopening of simulation centres and the new normal: food for thought Adv Simul 2020;5(13) https://doi org/10 1186/s41077-020-00131-32 Cheng A, Kolbe M Grant V, et al A practical guide to virtual debriefings: communities of inquiry perspective Adv Simul 2020;5(18) https://doi org/10 1186/s41077-020-00141-13 Dieckmann P, Patterson M, Lahlou S, et al Variation and adaptation: learning from success in patient safety-oriented simulation training Adv Simul 2017;2(21) https://doi org/10 1186/s41077-017-0054-14 Fields J, Kenny NA, Mueller RA Conceptualizing educational leadership in an academic development program International Journal for Academic Development 2019;24(3)DOI: 10 1080/1360144X 2019 1570211",2020,"Diaz-Navarro, Cristina Mitra Suman Cook Sara-Catrin",BMJ Simulation &amp; Technology Enhanced Learning
Medline,A novel biomarker-based prognostic score in acute ischemic stroke: The CoRisk score.,"OBJECTIVES To derive and externally validate a copeptin-based parsimonious score to predict unfavorable outcome 3 months after an acute ischemic stroke (AIS). METHODS The derivation cohort consisted of patients with AIS enrolled prospectively at the University Hospital Basel, Switzerland. The validation cohort was prospectively enrolled after the derivation cohort at the University Hospital of Bern and University Hospital Basel, Switzerland, as well as Frankfurt a.M., Germany. The score components were copeptin levels, age, NIH Stroke Scale, and recanalization therapy (CoRisk score). Copeptin levels were measured in plasma drawn within 24 hours of AIS and before any recanalization therapy. The primary outcome of disability and death at 3 months was defined as modified Rankin Scale score of 3 to 6. RESULTS Overall, 1,102 patients were included in the analysis; the derivation cohort contributed 319 patients, and the validation cohort contributed 783. An unfavorable outcome was observed among 436 patients (40%). For the 3-month prediction of disability and death, the CoRisk score was well calibrated in the validation cohort, for which the area under the receiver operating characteristic curve was 0.819 (95% confidence interval [CI] 0.787-0.849). The calibrated CoRisk score correctly classified 75% of patients (95% CI 72-78). The net reclassification index between the calibrated CoRisk scores with and without copeptin was 46% (95% CI 32-60). CONCLUSIONS The biomarker-based CoRisk score for the prediction of disability and death was externally validated, was well calibrated, and performed better than the same score without copeptin. CLINICALTRIALSGOV IDENTIFIER NCT00390962 (derivation cohort) and NCT00878813 (validation cohort).",2019,"De Marchis, Gian Marco; Dankowski, Theresa; König, Inke R; Fladt, Joachim; Fluri, Felix; Gensicke, Henrik; Foerch, Christian; Findling, Oliver; Kurmann, Rebekka; Fischer, Urs; Luft, Andreas; Buhl, Daniela; Engelter, Stefan T; Lyrer, Philippe A; Christ-Crain, Mirjam; Arnold, Marcel; Katan, Mira",Neurology
Medline; PMC,High-Throughput Plant Phenotyping Platform (HT3P) as a Novel Tool for Estimating Agronomic Traits From the Lab to the Field,"Food scarcity, population growth, and global climate change have propelled crop yield growth driven by high-throughput phenotyping into the era of big data. However, access to large-scale phenotypic data has now become a critical barrier that phenomics urgently must overcome. Fortunately, the high-throughput plant phenotyping platform (HT3P), employing advanced sensors and data collection systems, can take full advantage of non-destructive and high-throughput methods to monitor, quantify, and evaluate specific phenotypes for large-scale agricultural experiments, and it can effectively perform phenotypic tasks that traditional phenotyping could not do. In this way, HT3Ps are novel and powerful tools, for which various commercial, customized, and even self-developed ones have been recently introduced in rising numbers. Here, we review these HT3Ps in nearly 7 years from greenhouses and growth chambers to the field, and from ground-based proximal phenotyping to aerial large-scale remote sensing. Platform configurations, novelties, operating modes, current developments, as well the strengths and weaknesses of diverse types of HT3Ps are thoroughly and clearly described. Then, miscellaneous combinations of HT3Ps for comparative validation and comprehensive analysis are systematically present, for the first time. Finally, we consider current phenotypic challenges and provide fresh perspectives on future development trends of HT3Ps. This review aims to provide ideas, thoughts, and insights for the optimal selection, exploitation, and utilization of HT3Ps, and thereby pave the way to break through current phenotyping bottlenecks in botany.",2021-01-13,"Li, Daoliang; Quan, Chaoqun; Song, Zhaoyang; Li, Xiang; Yu, Guanghui; Li, Cheng; Muhammad, Akhter",Front Bioeng Biotechnol
PMC,The impact of commodity price volatility on fiscal balance and the role of real interest rate,"The objective of this study is to explore the impact of commodity price volatility on the governments’ fiscal balance. Using a dynamic panel data model for 108 countries from 1993 to 2018, this study finds that governments’ fiscal balance deteriorates with commodity price volatility, especially for commodity-exporting economies. A one standard deviation increase in commodity price volatility leads to a reduction of approximately 0.04 units in the fiscal balance as a percentage of gross domestic product. Further, we examine the role of real interest rates in influencing the relationship between commodity price volatility and fiscal balance. The empirical results suggest that the negative impact of commodity price volatility on fiscal balance can be mitigated with a lower real interest rate. This implies under the sticky price assumption, an accommodative monetary policy could be effective in moderating the negative effect of commodity price volatility on fiscal balance.",2022-01-11,"Majumder, Monoj Kumar; Raghavan, Mala; Vespignani, Joaquin",Empir Econ
MedRxiv; WHO,SARS-CoV-2 Transmission Risk from sports Equipment (STRIKE),"OBJECTIVES: To investigate the potential of shared sporting equipment as transmission vectors of SARS-CoV-2 during the reintroduction of sports such as soccer, rugby, cricket, tennis, golf and gymnastics. SETTING: Laboratory based live SARS-CoV-2 virus study. INTERVENTIONS: Ten different types of sporting equipment were inoculated with 40l droplets containing clinically relevant high and low concentrations of live SARS-CoV-2 virus. Materials were then swabbed at time points relevant to sports (1, 5, 15, 30, 90 minutes). The amount of live SARS-CoV-2 recovered at each time point was enumerated using viral plaque assays, and viral decay and half-life was estimated through fitting linear models to log transformed data from each material. MAIN OUTCOME MEASURE: The primary outcome measure was quantification of retrievable SARS-CoV-2 virus from each piece of equipment at pre-determined time points. RESULTS: At one minute, SARS-CoV-2 virus was recovered in only seven of the ten types of equipment with the low dose inoculum, one at five minutes and none at 15 minutes. Retrievable virus dropped significantly for all materials tested using the high dose inoculum with mean recovery of virus falling to 0.74% at 1 minute, 0.39% at 15 minutes and 0.003% at 90 minutes. Viral recovery, predicted decay, and half-life varied between materials with porous surfaces limiting virus transmission. CONCLUSIONS: This study shows that there is an exponential reduction in SARS-CoV-2 recoverable from a range of sports equipment after a short time period, and virus is less transferrable from materials such as a tennis ball, red cricket ball and cricket glove. Given this rapid loss of viral load and the fact that transmission requires a significant inoculum to be transferred from equipment to the mucous membranes of another individual it seems unlikely that sports equipment is a major cause for transmission of SARS-CoV-2. These findings have important policy implications in the context of the pandemic and may promote other infection control measures in sports to reduce the risk of SARS-CoV-2 transmission and urge sports equipment manufacturers to identify surfaces that may or may not be likely to retain transferable virus.",2021-02-08,"Edwards, T.; Kay, G. A.; Aljayyoussi, G.; Owen, S. I.; Harland, A. R.; Pierce, N. S.; Calder, J. D. F.; Fletcher, T.; Adams, E. R.",
Medline; PMC,Plasma ACE2 predicts outcome of COVID-19 in hospitalized patients,"AIMS: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) binds to angiotensin converting enzyme 2 (ACE2) enabling entrance of the virus into cells and causing the infection termed coronavirus disease of 2019 (COVID-19). Here, we investigate associations between plasma ACE2 and outcome of COVID-19. METHODS AND RESULTS: This analysis used data from a large longitudinal study of 306 COVID-19 positive patients and 78 COVID-19 negative patients (MGH Emergency Department COVID-19 Cohort). Comprehensive clinical data were collected on this cohort, including 28-day outcomes. The samples were run on the Olink® Explore 1536 platform which includes measurement of the ACE2 protein. High admission plasma ACE2 in COVID-19 patients was associated with increased maximal illness severity within 28 days with OR = 1.8, 95%-CI: 1.4–2.3 (P < 0.0001). Plasma ACE2 was significantly higher in COVID-19 patients with hypertension compared with patients without hypertension (P = 0.0045). Circulating ACE2 was also significantly higher in COVID-19 patients with pre-existing heart conditions and kidney disease compared with patients without these pre-existing conditions (P = 0.0363 and P = 0.0303, respectively). CONCLUSION: This study suggests that measuring plasma ACE2 is potentially valuable in predicting COVID-19 outcomes. Further, ACE2 could be a link between COVID-19 illness severity and its established risk factors hypertension, pre-existing heart disease and pre-existing kidney disease.",2021-06-04,"Kragstrup, Tue W.; Singh, Helene Søgaard; Grundberg, Ida; Nielsen, Ane Langkilde-Lauesen; Rivellese, Felice; Mehta, Arnav; Goldberg, Marcia B.; Filbin, Michael R.; Qvist, Per; Bibby, Bo Martin",PLoS One
WHO,Pediatric urology amidst SARS-CoV-2 pandemic: Building the future with current knowledge,"INTRODUCTION: The COVID-19 pandemic has ripped around the globe, stolen family members and forced healthcare systems to operate under an unprecedented strain. As of December 2020, 74.7 million people have contracted COVID-19 worldwide and although vaccine distribution has commenced, a recent rise in cases suggest that the pandemic is far from over. METHODS: This piece explores how COVID-19 has explicitly impacted the field of pediatric urology and its patients with a focus on vulnerable subpopulations. RESULTS: Various medical and surgical associations have published guidelines in reaction to the initial onset of the pandemic in early 2020. DISCUSSION AND CONCLUSION: As the number of patients with COVID-19 increases, long-term recovery and future preparedness are imperative and should be cognizant of patient subpopulations that have been subject to disproportionate morbidity and mortality burden. Development of a dedicated response team would aid in achieving preparedness by drafting and implementing plans for resource allocation during scarcity, including logistic and ethical considerations of vaccine distribution. LEVEL OF EVIDENCE: III.",2021,"Lombardo, Alyssa M; Andolfi, Ciro; Deshpande, Abhishek P; Aizen, Joshua M; Dangle, Pankaj P; Gundeti, Mohan S",J. pediatr. surg
WHO,Why covid-19 laboratory personnel should be tested before attending the laboratory: How even the most experienced personnel conta350minate clinical samples,,2020,"Kia, V.; Teimouri, M.; Bitaraf, F. S.",Journal of Advances in Medical and Biomedical Research
WHO,"Update to agriculture, transportation, and the COVID-19 crisis","Abstract One year into the largest economic and health event of the past 70 years, this paper considers how agricultural supply chains and agricultural transportation have been impacted by the COVID-19 pandemic Written as an update to Gray (2020), we are able to show that agricultural transportation systems have proven to be extremely robust and were able to innovate in real-time to address challenges in the agricultural and food supply chains We are also able confirm that most of the transportation components are well-equipped to deal with the remainder of the pandemic and the recovery phase Notably, innovation created new services, cost-saving technologies, safety innovations, new institutions, networks, and channels of communication that operated effectively to address the pandemic These changes are likely to remain in place post pandemic",2021,"Gray, Richard S.; Torshizi, Mohammad",Canadian Journal of Agricultural Economics/Revue canadienne d&#039;agroeconomie
Medline; PMC; WHO,Versatile SARS-CoV-2 Reverse-Genetics Systems for the Study of Antiviral Resistance and Replication,"The COVID-19 pandemic continues to threaten healthcare systems worldwide due to the limited access to vaccines, suboptimal treatment options, and the continuous emergence of new and more transmissible SARS-CoV-2 variants. Reverse-genetics studies of viral genes and mutations have proven highly valuable in advancing basic virus research, leading to the development of therapeutics. We developed a functional and highly versatile full-length SARS-CoV-2 infectious system by cloning the sequence of a COVID-19 associated virus isolate (DK-AHH1) into a bacterial artificial chromosome (BAC). Viruses recovered after RNA-transfection of in vitro transcripts into Vero E6 cells showed growth kinetics and remdesivir susceptibility similar to the DK-AHH1 virus isolate. Insertion of reporter genes, green fluorescent protein, and nanoluciferase into the ORF7 genomic region led to high levels of reporter activity, which facilitated high throughput treatment experiments. We found that putative coronavirus remdesivir resistance-associated substitutions F480L and V570L—and naturally found polymorphisms A97V, P323L, and N491S, all in nsp12—did not decrease SARS-CoV-2 susceptibility to remdesivir. A nanoluciferase reporter clone with deletion of spike (S), envelope (E), and membrane (M) proteins exhibited high levels of transient replication, was inhibited by remdesivir, and therefore could function as an efficient non-infectious subgenomic replicon system. The developed SARS-CoV-2 reverse-genetics systems, including recombinants to modify infectious viruses and non-infectious subgenomic replicons with autonomous genomic RNA replication, will permit high-throughput cell culture studies—providing fundamental understanding of basic biology of this coronavirus. We have proven the utility of the systems in rapidly introducing mutations in nsp12 and studying their effect on the efficacy of remdesivir, which is used worldwide for the treatment of COVID-19. Our system provides a platform to effectively test the antiviral activity of drugs and the phenotype of SARS-CoV-2 mutants.",2022-01-18,"Fahnøe, Ulrik; Pham, Long V.; Fernandez-Antunez, Carlota; Costa, Rui; Rivera-Rangel, Lizandro René; Galli, Andrea; Feng, Shan; Mikkelsen, Lotte S.; Gottwein, Judith M.; Scheel, Troels K. H.; Ramirez, Santseharay; Bukh, Jens",Viruses
WHO,Coronavirus Disease (COVID-19): A Machine Learning Bibliometric Analysis,"BACKGROUND/AIM: To evaluate the research trends in coronavirus disease (COVID-19). MATERIALS AND METHODS: A bibliometric analysis was performed using a machine learning bibliometric methodology. Information regarding publication outputs, countries, institutions, journals, keywords, funding and citation counts was retrieved from Scopus database. RESULTS: A total of 1883 eligible papers were returned. An exponential increase in the COVID-19 publications occurred in the last months. As expected, China produced the majority of articles, followed by the United States of America, the United Kingdom and Italy. There is greater collaboration between highly contributing authors and institutions. The ""BMJ"" published the highest number of papers (n=129) and ""The Lancet"" had the most citations (n=1439). The most ubiquitous topic was COVID-19 clinical features. CONCLUSION: This bibliometric analysis presents the most influential references related to COVID-19 during this time and could be useful to improve understanding and management of COVID-19.",2020,"DE Felice, Francesca; Polimeni, Antonella",In Vivo
